person_id,first_name,last_name,team,description,all_nba_team_number,season,month,week,conference,type,subtype1,subtype2,subtype3
101108,Chris,Paul,LA Clippers,All-Defensive Team,1,2015-16,,,West,Award,Kia Motors,KIADT,
101108,Chris,Paul,LA Clippers,NBA Player of the Week,,2015-16,,2016-01-11T00:00:00,West,Award,Kia Motors,KIPWK,
101108,Chris,Paul,LA Clippers,NBA Player of the Month,,2016-17,4/1/2017,,West,Award,Kia Motors,KIPMO,
101108,Chris,Paul,Houston Rockets,NBA Player of the Week,,2017-18,,2017-12-11T00:00:00,West,Award,Kia Motors,KIPWK,
101108,Chris,Paul,LA Clippers,All-Defensive Team,1,2016-17,,,, ,,,
77819,Jim,Paxson,Portland Trail Blazers,All-NBA,2,1983-84,,,1610612757,Award,Kia Motors,KIANT,
203901,Elfrid,Payton,Orlando Magic,All-Rookie Team,1,2014-15,,,1610612753,Award,Kia Motors,KIART,
203901,Elfrid,Payton,Orlando Magic,NBA Rookie of the Month,,2014-15,1/1/2015,,East,Award,Kia Motors,KIRMO,
56,Gary,Payton,Seattle SuperSonics,All-NBA,1,1997-98,,,1610612760,Award,Kia Motors,KIANT,
56,Gary,Payton,Seattle SuperSonics,All-Defensive Team,1,2001-02,,,1610612760,Award,Kia Motors,KIADT,
56,Gary,Payton,USA,Olympic Gold Medal,,2000,,,,Award,Olympic,Gold,
